walkid,id,time,lat,lon,img,numPeaks,max,avg,min,year,month,day,hour,minute,second,dayofweek,dayname
track12,2014-07-23_18-14-21_37.75663833_-122.42121552,2014-07-23_18-14-21,37.75663833,-122.42121552,2014-07-23_18-14-21_37.75663833_-122.42121552.wav,9,6079.3396232218,3976.1077347419,2675.6638621202,2014,7,23,18,14,21,2,Wednesday
track12,2014-07-23_18-09-25_37.75965111_-122.42151542,2014-07-23_18-09-25,37.75965111,-122.42151542,2014-07-23_18-09-25_37.75965111_-122.42151542.wav,9,10918.2083084859,7189.4462955463,4585.2735920279,2014,7,23,18,9,25,2,Wednesday
track12,2014-07-23_18-12-32_37.75766683_-122.421295,2014-07-23_18-12-32,37.75766683,-122.421295,2014-07-23_18-12-32_37.75766683_-122.421295.wav,9,10940.6937373013,6795.3672416932,4838.5035552493,2014,7,23,18,12,32,2,Wednesday
track12,2014-07-23_18-16-02_37.75552265_-122.42110209,2014-07-23_18-16-02,37.75552265,-122.42110209,2014-07-23_18-16-02_37.75552265_-122.42110209.wav,9,3860.9878543537,2287.4347401115,1731.690110729,2014,7,23,18,16,2,2,Wednesday
track12,2014-07-23_18-01-37_37.76486625_-122.42178997,2014-07-23_18-01-37,37.76486625,-122.42178997,2014-07-23_18-01-37_37.76486625_-122.42178997.wav,9,13554.1815561243,6822.0076731801,4318.1069129197,2014,7,23,18,1,37,2,Wednesday
track12,2014-07-23_18-03-36_37.76369864_-122.42174241,2014-07-23_18-03-36,37.76369864,-122.42174241,2014-07-23_18-03-36_37.76369864_-122.42174241.wav,9,14586.0974921692,8073.6345391887,5526.3277395692,2014,7,23,18,3,36,2,Wednesday
track12,2014-07-23_18-14-56_37.75623066_-122.42116861,2014-07-23_18-14-56,37.75623066,-122.42116861,2014-07-23_18-14-56_37.75623066_-122.42116861.wav,9,26151.4674790666,19876.0064030459,10441.8446207925,2014,7,23,18,14,56,2,Wednesday
track12,2014-07-23_18-14-00_37.7568647_-122.42115256,2014-07-23_18-14-00,37.7568647,-122.42115256,2014-07-23_18-14-00_37.7568647_-122.42115256.wav,9,15045.5332158698,7861.7827782541,5386.437093934,2014,7,23,18,14,0,2,Wednesday
track12,2014-07-23_18-11-03_37.75856764_-122.42138859,2014-07-23_18-11-03,37.75856764,-122.42138859,2014-07-23_18-11-03_37.75856764_-122.42138859.wav,9,7688.683576714,6745.2473535467,4774.1533293056,2014,7,23,18,11,3,2,Wednesday
track12,2014-07-23_18-06-05_37.76196907_-122.421575,2014-07-23_18-06-05,37.76196907,-122.421575,2014-07-23_18-06-05_37.76196907_-122.421575.wav,9,7308.4297460547,5302.0785980934,3772.4159884931,2014,7,23,18,6,5,2,Wednesday
track12,2014-07-23_17-58-14_37.76498596_-122.41963061,2014-07-23_17-58-14,37.76498596,-122.41963061,2014-07-23_17-58-14_37.76498596_-122.41963061.wav,9,11840.6481655359,9073.7758905577,7169.4403890127,2014,7,23,17,58,14,2,Wednesday
track12,2014-07-23_18-03-26_37.76383362_-122.42180022,2014-07-23_18-03-26,37.76383362,-122.42180022,2014-07-23_18-03-26_37.76383362_-122.42180022.wav,9,9955.1704948845,8198.0450242625,6767.8171243449,2014,7,23,18,3,26,2,Wednesday
track12,2014-07-23_18-10-30_37.75888778_-122.42149545,2014-07-23_18-10-30,37.75888778,-122.42149545,2014-07-23_18-10-30_37.75888778_-122.42149545.wav,9,7824.7924429824,6613.0520332518,5773.1393263122,2014,7,23,18,10,30,2,Wednesday
track12,2014-07-23_18-13-38_37.75695211_-122.42112201,2014-07-23_18-13-38,37.75695211,-122.42112201,2014-07-23_18-13-38_37.75695211_-122.42112201.wav,9,12745.5077559188,8265.6023857069,5526.5682298669,2014,7,23,18,13,38,2,Wednesday
